CNPJ,Ref,Media180,NDias
60740615000186,202603,33856999,123
60740615000186,202604,34161901,122
60740615000186,202605,34289692,121
60740615000186,202606,34327942,122
60740615000186,202607,34418082,124
60740615000186,HOJE,34419712,121
60742631000108,202512,12598308,126
60742631000108,202601,13414143,126
60742631000108,202602,14224913,124
60742631000108,202603,15305953,123
60742631000108,202604,16456700,122
60742631000108,202605,17498633,121
60742631000108,202606,18100859,122
60742631000108,202607,18678704,124
60742631000108,HOJE,18761169,122
60742779000142,202512,30194909,126
60742779000142,202601,32450394,126
60742779000142,202602,33187464,124
60742779000142,202603,33634459,123
60742779000142,202604,33893979,122
60742779000142,202605,34075012,121
60742779000142,202606,34297932,122
60742779000142,202607,34595881,124
60742779000142,HOJE,34622450,122
60742785000108,202512,112025335,126
60742785000108,202601,109169798,126
60742785000108,202602,160248817,124
60742785000108,202603,456815584,123
60742785000108,202604,928938853,122
60742785000108,202605,1441062497,121
60742785000108,202606,1964917231,122
60742785000108,202607,2527256413,124
60742785000108,HOJE,2619642770,122
60742819000156,202512,164042093,126
60742819000156,202601,186046761,126
60742819000156,202602,206560712,124
60742819000156,202603,231045310,123
60742819000156,202604,251397239,122
60742819000156,202605,272431239,121
60742819000156,202606,291505973,122
60742819000156,202607,295044454,124
60742819000156,HOJE,295435885,122
60775750000167,202512,161204839,126
60775750000167,202601,179935508,126
60775750000167,202602,192479352,124
60775750000167,202603,202620375,123
60775750000167,202604,215210023,122
60775750000167,202605,229348487,121
60775750000167,202606,242613267,121
60775750000167,202607,257041186,119
60775750000167,HOJE,258713584,116
60776254000128,202512,508269442,126
60776254000128,202601,504155375,126
60776254000128,202602,501724584,124
60776254000128,202603,496953996,123
60776254000128,202604,491926695,122
60776254000128,202605,487366191,121
60776254000128,202606,483337741,122
60776254000128,202607,478619083,124
60776254000128,HOJE,477721611,122
60778434000149,202512,52002741,126
60778434000149,202601,52504715,126
60778434000149,202602,53071391,124
60778434000149,202603,53478142,123
60778434000149,202604,53555053,122
60778434000149,202605,53486063,121
60778434000149,202606,53143968,122
60778434000149,202607,52779640,124
60778434000149,HOJE,52703550,121
60784769000170,202512,72256168,126
60784769000170,202601,72860076,126
60784769000170,202602,73574134,124
60784769000170,202603,74291918,123
60784769000170,202604,74856974,122
60784769000170,202605,75214952,121
60784769000170,202606,75492988,122
60784769000170,202607,75762320,124
60784769000170,HOJE,75762981,121
60806210000101,202512,23565263,126
60806210000101,202601,24536430,126
60806210000101,202602,25298642,124
60806210000101,202603,25940959,123
60806210000101,202604,26128790,122
60806210000101,202605,26299983,121
60806210000101,202606,26506452,122
60806210000101,202607,26714461,124
