CD_ATIVO,GESTOR,VL_ALOCADO
"SMFTA2","Tivio",14738183.71
"FLRY25","Valora",699165.23
"CEEDA0","Somma",11105408.86
"MSGT13","BTG WM",3567938.2
"RDORD3","Ekho",391634.69
"AEGPB3","Investcoop",20092796.91
"ASCP13","Mirabaud",482130.26
"ENEV18","IAM",5946345.42
"CEEBC4","SAM",17453434.74
"RCEN12","ITAU Tsy",171940775.86
"GASP17","(fundo nao cadastrado)",52089340.29
"EUFA17","Lifetime",294945
"ENERC3","Safra Asset",465108.88
"TIET19","Inter",4244024.82
"ASAI22","(fundo nao cadastrado)",28283985.06
"LIGHB6","(fundo nao cadastrado)",18367222.14
"CSNAA5","Legacy",2866311.05
"CEEBA8","UBS",8055625.39
"CERT11","Oriz",15036967.63
"RSPA11","JGP",15533926.73
"VLIM25","Scalare",10487183.79
